"Geography","Geographic Area Name","Total"
"1400000US36005018302","Census Tract 183.02; Bronx County; New York","3686"
"1400000US36005018400","Census Tract 184; Bronx County; New York","4329"
"1400000US36005018501","Census Tract 185.01; Bronx County; New York","3076"
"1400000US36005018502","Census Tract 185.02; Bronx County; New York","6442"
"1400000US36005018900","Census Tract 189; Bronx County; New York","8360"
"1400000US36005019300","Census Tract 193; Bronx County; New York","6020"
"1400000US36005019400","Census Tract 194; Bronx County; New York","2022"
"1400000US36005019500","Census Tract 195; Bronx County; New York","7509"
"1400000US36005019700","Census Tract 197; Bronx County; New York","7213"
"1400000US36005019900","Census Tract 199; Bronx County; New York","7909"
"1400000US36005020000","Census Tract 200; Bronx County; New York","5235"
"1400000US36005020100","Census Tract 201; Bronx County; New York","4345"
"1400000US36005020200","Census Tract 202; Bronx County; New York","2789"
"1400000US36005020400","Census Tract 204; Bronx County; New York","3129"
"1400000US36005020501","Census Tract 205.01; Bronx County; New York","7859"
"1400000US36005020502","Census Tract 205.02; Bronx County; New York","2462"
"1400000US36005020601","Census Tract 206.01; Bronx County; New York","3277"
"1400000US36005020900","Census Tract 209; Bronx County; New York","4823"
"1400000US36005021001","Census Tract 210.01; Bronx County; New York","8946"
"1400000US36005021002","Census Tract 210.02; Bronx County; New York","7855"
"1400000US36005021100","Census Tract 211; Bronx County; New York","5822"
"1400000US36005021200","Census Tract 212; Bronx County; New York","6596"
"1400000US36005021301","Census Tract 213.01; Bronx County; New York","1264"
"1400000US36005021302","Census Tract 213.02; Bronx County; New York","5830"
"1400000US36005021501","Census Tract 215.01; Bronx County; New York","4078"
"1400000US36005021502","Census Tract 215.02; Bronx County; New York","6360"
"1400000US36005021601","Census Tract 216.01; Bronx County; New York","4701"
"1400000US36005021602","Census Tract 216.02; Bronx County; New York","6237"
"1400000US36005021700","Census Tract 217; Bronx County; New York","5006"
"1400000US36005021800","Census Tract 218; Bronx County; New York","6610"
"1400000US36005021900","Census Tract 219; Bronx County; New York","1176"
"1400000US36005022000","Census Tract 220; Bronx County; New York","2511"
"1400000US36005022101","Census Tract 221.01; Bronx County; New York","4001"
"1400000US36005022102","Census Tract 221.02; Bronx County; New York","5457"
"1400000US36005022200","Census Tract 222; Bronx County; New York","3968"
"1400000US36005022300","Census Tract 223; Bronx County; New York","5063"
"1400000US36005022401","Census Tract 224.01; Bronx County; New York","2787"
"1400000US36005022403","Census Tract 224.03; Bronx County; New York","3275"
"1400000US36005022404","Census Tract 224.04; Bronx County; New York","4489"
"1400000US36005022500","Census Tract 225; Bronx County; New York","8141"
"1400000US36005022701","Census Tract 227.01; Bronx County; New York","5669"
"1400000US36005022702","Census Tract 227.02; Bronx County; New York","1634"
"1400000US36005022703","Census Tract 227.03; Bronx County; New York","1699"
"1400000US36005022800","Census Tract 228; Bronx County; New York","6336"
"1400000US36005022901","Census Tract 229.01; Bronx County; New York","5766"
"1400000US36005022902","Census Tract 229.02; Bronx County; New York","3401"
"1400000US36005023000","Census Tract 230; Bronx County; New York","3001"
"1400000US36005023100","Census Tract 231; Bronx County; New York","1464"
"1400000US36005023200","Census Tract 232; Bronx County; New York","3000"
"1400000US36005023301","Census Tract 233.01; Bronx County; New York","4577"
"1400000US36005023302","Census Tract 233.02; Bronx County; New York","3574"
"1400000US36005023501","Census Tract 235.01; Bronx County; New York","3570"
"1400000US36005023502","Census Tract 235.02; Bronx County; New York","4417"
"1400000US36005023600","Census Tract 236; Bronx County; New York","2204"
"1400000US36005023702","Census Tract 237.02; Bronx County; New York","1179"
"1400000US36005023703","Census Tract 237.03; Bronx County; New York","5086"
"1400000US36005023704","Census Tract 237.04; Bronx County; New York","3970"
"1400000US36005023800","Census Tract 238; Bronx County; New York","2750"
"1400000US36005023900","Census Tract 239; Bronx County; New York","8213"
"1400000US36005024000","Census Tract 240; Bronx County; New York","4583"
"1400000US36005024100","Census Tract 241; Bronx County; New York","6331"
"1400000US36005024300","Census Tract 243; Bronx County; New York","5577"
"1400000US36005024400","Census Tract 244; Bronx County; New York","2407"
"1400000US36005024501","Census Tract 245.01; Bronx County; New York","5059"
"1400000US36005024502","Census Tract 245.02; Bronx County; New York","3797"
"1400000US36005024600","Census Tract 246; Bronx County; New York","2297"
"1400000US36005024700","Census Tract 247; Bronx County; New York","1921"
"1400000US36005024800","Census Tract 248; Bronx County; New York","3620"
"1400000US36005024900","Census Tract 249; Bronx County; New York","4"
"1400000US36005025000","Census Tract 250; Bronx County; New York","2672"
"1400000US36005025100","Census Tract 251; Bronx County; New York","6924"
"1400000US36005025200","Census Tract 252; Bronx County; New York","2682"
"1400000US36005025300","Census Tract 253; Bronx County; New York","6234"
"1400000US36005025400","Census Tract 254; Bronx County; New York","2163"
"1400000US36005025500","Census Tract 255; Bronx County; New York","8092"
"1400000US36005025600","Census Tract 256; Bronx County; New York","1908"
"1400000US36005025700","Census Tract 257; Bronx County; New York","1809"
"1400000US36005026100","Census Tract 261; Bronx County; New York","2060"
"1400000US36005026300","Census Tract 263; Bronx County; New York","6788"
"1400000US36005026400","Census Tract 264; Bronx County; New York","5693"
"1400000US36005026500","Census Tract 265; Bronx County; New York","7166"
"1400000US36005026601","Census Tract 266.01; Bronx County; New York","3328"
"1400000US36005026602","Census Tract 266.02; Bronx County; New York","6409"
"1400000US36005026701","Census Tract 267.01; Bronx County; New York","3983"
"1400000US36005026702","Census Tract 267.02; Bronx County; New York","7022"
"1400000US36005026900","Census Tract 269; Bronx County; New York","4126"
"1400000US36005027300","Census Tract 273; Bronx County; New York","7939"
"1400000US36005027401","Census Tract 274.01; Bronx County; New York","5136"
"1400000US36005027402","Census Tract 274.02; Bronx County; New York","3553"
"1400000US36005027600","Census Tract 276; Bronx County; New York","23"
"1400000US36005027700","Census Tract 277; Bronx County; New York","4968"
"1400000US36005027900","Census Tract 279; Bronx County; New York","8145"
"1400000US36005028100","Census Tract 281; Bronx County; New York","3720"
"1400000US36005028300","Census Tract 283; Bronx County; New York","2084"
"1400000US36005028400","Census Tract 284; Bronx County; New York","297"
"1400000US36005028500","Census Tract 285; Bronx County; New York","3440"
"1400000US36005028600","Census Tract 286; Bronx County; New York","1395"
"1400000US36005028700","Census Tract 287; Bronx County; New York","3953"
"1400000US36005028800","Census Tract 288; Bronx County; New York","3055"
"1400000US36005028900","Census Tract 289; Bronx County; New York","4736"
"1400000US36005029301","Census Tract 293.01; Bronx County; New York","1954"
"1400000US36005029302","Census Tract 293.02; Bronx County; New York","5248"
"1400000US36005029500","Census Tract 295; Bronx County; New York","4615"
"1400000US36005029600","Census Tract 296; Bronx County; New York","2878"
"1400000US36005029700","Census Tract 297; Bronx County; New York","4005"
"1400000US36005030000","Census Tract 300; Bronx County; New York","6591"
"1400000US36005030100","Census Tract 301; Bronx County; New York","1627"
"1400000US36005030201","Census Tract 302.01; Bronx County; New York","4048"
"1400000US36005030202","Census Tract 302.02; Bronx County; New York","6063"
"1400000US36005030701","Census Tract 307.01; Bronx County; New York","5799"
"1400000US36005030900","Census Tract 309; Bronx County; New York","3947"
"1400000US36005031000","Census Tract 310; Bronx County; New York","4372"
"1400000US36005031200","Census Tract 312; Bronx County; New York","1555"
"1400000US36005031400","Census Tract 314; Bronx County; New York","2071"
"1400000US36005031600","Census Tract 316; Bronx County; New York","2071"
"1400000US36005031800","Census Tract 318; Bronx County; New York","1961"
"1400000US36005031900","Census Tract 319; Bronx County; New York","454"
"1400000US36005032300","Census Tract 323; Bronx County; New York","5001"
"1400000US36005032400","Census Tract 324; Bronx County; New York","3113"
"1400000US36005032600","Census Tract 326; Bronx County; New York","3494"
"1400000US36005032800","Census Tract 328; Bronx County; New York","4133"
"1400000US36005033000","Census Tract 330; Bronx County; New York","5837"
"1400000US36005033201","Census Tract 332.01; Bronx County; New York","4103"
"1400000US36005033202","Census Tract 332.02; Bronx County; New York","4204"
"1400000US36005033400","Census Tract 334; Bronx County; New York","69"
"1400000US36005033500","Census Tract 335; Bronx County; New York","2440"
"1400000US36005033601","Census Tract 336.01; Bronx County; New York","4306"
"1400000US36005033602","Census Tract 336.02; Bronx County; New York","1555"
"1400000US36005033700","Census Tract 337; Bronx County; New York","3838"
"1400000US36005033801","Census Tract 338.01; Bronx County; New York","2337"
"1400000US36005033802","Census Tract 338.02; Bronx County; New York","1737"
"1400000US36005034000","Census Tract 340; Bronx County; New York","4858"
"1400000US36005034200","Census Tract 342; Bronx County; New York","1732"
"1400000US36005034300","Census Tract 343; Bronx County; New York","1706"
"1400000US36005034400","Census Tract 344; Bronx County; New York","1930"
"1400000US36005034500","Census Tract 345; Bronx County; New York","3754"
"1400000US36005034800","Census Tract 348; Bronx County; New York","6640"
"1400000US36005035000","Census Tract 350; Bronx County; New York","2284"
"1400000US36005035100","Census Tract 351; Bronx County; New York","3539"
"1400000US36005035600","Census Tract 356; Bronx County; New York","2261"
"1400000US36005035800","Census Tract 358; Bronx County; New York","7542"
